otu96	k:Eukaryota(1.0000),p:Arthropoda(0.9600),c:Insecta(0.8448),o:Diptera(0.2872),f:Mycetophilidae(0.0201),g:Neoclastobasis(0.0010),s:Neoclastobasis draskovitsae(0.0001)	+	k:Eukaryota
otu93	k:Eukaryota(1.0000),p:Arthropoda(1.0000),c:Insecta(0.9800),o:Coleoptera(0.1274),f:Scirtidae(0.0051),g:Scirtes(0.0002),s:Scirtes exoletus(0.0000)	+	k:Eukaryota,p:Arthropoda
otu94	k:Eukaryota(1.0000),p:Arthropoda(0.9900),c:Insecta(0.9801),o:Lepidoptera(0.2450),f:Tortricidae(0.0270),g:Clepsis(0.0011),s:Clepsis peritana(0.0000)	+	k:Eukaryota
otu97	k:Eukaryota(1.0000),p:Arthropoda(1.0000),c:Insecta(1.0000),o:Diptera(0.4400),f:Sarcophagidae(0.0352),g:Sarcophaga(0.0021),s:Sarcophaga similis(0.0001)	+	k:Eukaryota,p:Arthropoda,c:Insecta
otu101	k:Eukaryota(1.0000),p:Arthropoda(0.9300),c:Insecta(0.8649),o:Hemiptera(0.0865),f:Cicadellidae(0.0061),g:Sonronius(0.0002),s:Sonronius dahlbomi(0.0000)	+	k:Eukaryota
otu98	k:Eukaryota(1.0000),p:Arthropoda(0.9900),c:Insecta(0.9801),o:Coleoptera(0.5783),f:Staphylinidae(0.1446),g:Acrolocha(0.0116),s:Acrolocha sulcula(0.0008)	+	k:Eukaryota
otu100	k:Eukaryota(1.0000),p:Arthropoda(0.9500),c:Malacostraca(0.0190),o:Decapoda(0.0004),f:Mithracidae(0.0000),g:Teleophrys(0.0000),s:Teleophrys ornatus(0.0000)	+	k:Eukaryota
otu104	k:Eukaryota(1.0000),p:Arthropoda(0.9200),c:Insecta(0.8004),o:Coleoptera(0.4562),f:Tenebrionidae(0.0821),g:Diaperis(0.0049),s:Diaperis maculata(0.0002)	+	k:Eukaryota
otu102	k:Eukaryota(1.0000),p:Arthropoda(1.0000),c:Insecta(0.9900),o:Lepidoptera(0.7128),f:Momphidae(0.0285),g:Mompha(0.0011),s:Mompha miscella(0.0000)	+	k:Eukaryota,p:Arthropoda
otu103	k:Eukaryota(1.0000),p:Arthropoda(0.9900),c:Insecta(0.9801),o:Coleoptera(0.2548),f:Helophoridae(0.0051),g:Helophorus(0.0001),s:Helophorus glacialis(0.0000)	+	k:Eukaryota
otu99	k:Eukaryota(1.0000),p:Arthropoda(0.9800),c:Insecta(0.9408),o:Orthoptera(0.1693),f:Tettigoniidae(0.0051),g:Phaneroptera(0.0002),s:Phaneroptera gracilis(0.0000)	+	k:Eukaryota
otu107	k:Eukaryota(1.0000),p:Arthropoda(0.8900),c:Insecta(0.7298),o:Hemiptera(0.1387),f:Triozidae(0.0083),g:Pariaconus(0.0003),s:Pariaconus caulicalix(0.0000)	+	k:Eukaryota
otu105	k:Eukaryota(1.0000),p:Arthropoda(1.0000),c:Insecta(0.9900),o:Diptera(0.4653),f:Drosophilidae(0.0791),g:Drosophila(0.0095),s:Drosophila sticta(0.0004)	+	k:Eukaryota,p:Arthropoda
otu108	k:Eukaryota(1.0000),p:Arthropoda(0.9900),c:Insecta(0.9801),o:Coleoptera(0.7743),f:Elateridae(0.4491),g:Elater(0.0314),s:Elater solskyi(0.0019)	+	k:Eukaryota
otu109	k:Eukaryota(1.0000),p:Arthropoda(0.9700),c:Insecta(0.9118),o:Hemiptera(0.1641),f:Cicadellidae(0.0181),g:Jikradia(0.0007),s:Jikradia olitoria(0.0000)	+	k:Eukaryota
otu110	k:Eukaryota(1.0000),p:Arthropoda(0.9600),c:Insecta(0.8736),o:Hemiptera(0.3058),f:Membracidae(0.0122),g:Multareis(0.0004),s:Multareis cornutus(0.0000)	+	k:Eukaryota
