,treeid,trayid,camp,species,circumference,diameter,baseheight,trayheight,height,fogdate,latitude,longitude,utm_x,utm_y,GPS_alt,DEM30_alt,DEM10_alt,climband
TC_T6-10,6,T6-10,CA,Liquidambar styracaflua,4.75,1.511971959,21,23.3,41,15/07/14,15.512103,-88.241192,366876.4787,1715353.816,1798.19,1800,1800,2000
TC_T6-11,6,T6-11,CA,Liquidambar styracaflua,4.75,1.511971959,21,23.3,41,15/07/14,15.512103,-88.241192,366876.4787,1715353.816,1798.19,1800,1800,2000
TC_T6-12,6,T6-12,CA,Liquidambar styracaflua,4.75,1.511971959,21,23.3,41,15/07/14,15.512103,-88.241192,366876.4787,1715353.816,1798.19,1800,1800,2000
TC_T6-13,6,T6-13,CA,Liquidambar styracaflua,4.75,1.511971959,21,23.3,41,15/07/14,15.512103,-88.241192,366876.4787,1715353.816,1798.19,1800,1800,2000
TC_T6-14,6,T6-14,CA,Liquidambar styracaflua,4.75,1.511971959,21,23.3,41,15/07/14,15.512103,-88.241192,366876.4787,1715353.816,1798.19,1800,1800,2000
TC_T6-16,6,T6-16,CA,Liquidambar styracaflua,4.75,1.511971959,21,23.3,41,15/07/14,15.512103,-88.241192,366876.4787,1715353.816,1798.19,1800,1800,2000
TC_T6-17,6,T6-17,CA,Liquidambar styracaflua,4.75,1.511971959,21,23.3,41,15/07/14,15.512103,-88.241192,366876.4787,1715353.816,1798.19,1800,1800,2000
TC_T6-18,6,T6-18,CA,Liquidambar styracaflua,4.75,1.511971959,21,23.3,41,15/07/14,15.512103,-88.241192,366876.4787,1715353.816,1798.19,1800,1800,2000
TC_T6-19,6,T6-19,CA,Liquidambar styracaflua,4.75,1.511971959,21,23.3,41,15/07/14,15.512103,-88.241192,366876.4787,1715353.816,1798.19,1800,1800,2000
TC_T6-20,6,T6-20,CA,Liquidambar styracaflua,4.75,1.511971959,21,23.3,41,15/07/14,15.512103,-88.241192,366876.4787,1715353.816,1798.19,1800,1800,2000
TC_T6-21,6,T6-21,CA,Liquidambar styracaflua,4.75,1.511971959,21,23.3,41,15/07/14,15.512103,-88.241192,366876.4787,1715353.816,1798.19,1800,1800,2000
TC_T6-22,6,T6-22,CA,Liquidambar styracaflua,4.75,1.511971959,21,23.3,41,15/07/14,15.512103,-88.241192,366876.4787,1715353.816,1798.19,1800,1800,2000
TC_T6-23,6,T6-23,CA,Liquidambar styracaflua,4.75,1.511971959,21,23.3,41,15/07/14,15.512103,-88.241192,366876.4787,1715353.816,1798.19,1800,1800,2000
TC_T6-24,6,T6-24,CA,Liquidambar styracaflua,4.75,1.511971959,21,23.3,41,15/07/14,15.512103,-88.241192,366876.4787,1715353.816,1798.19,1800,1800,2000
TC_T6-26,6,T6-26,CA,Liquidambar styracaflua,4.75,1.511971959,21,23.3,41,15/07/14,15.512103,-88.241192,366876.4787,1715353.816,1798.19,1800,1800,2000
TC_T6-27,6,T6-27,CA,Liquidambar styracaflua,4.75,1.511971959,21,23.3,41,15/07/14,15.512103,-88.241192,366876.4787,1715353.816,1798.19,1800,1800,2000
TC_T6-28,6,T6-28,CA,Liquidambar styracaflua,4.75,1.511971959,21,23.3,41,15/07/14,15.512103,-88.241192,366876.4787,1715353.816,1798.19,1800,1800,2000
TC_T6-29,6,T6-29,CA,Liquidambar styracaflua,4.75,1.511971959,21,23.3,41,15/07/14,15.512103,-88.241192,366876.4787,1715353.816,1798.19,1800,1800,2000
TC_T6-3,6,T6-3,CA,Liquidambar styracaflua,4.75,1.511971959,21,23.3,41,15/07/14,15.512103,-88.241192,366876.4787,1715353.816,1798.19,1800,1800,2000
TC_T6-30,6,T6-30,CA,Liquidambar styracaflua,4.75,1.511971959,21,23.3,41,15/07/14,15.512103,-88.241192,366876.4787,1715353.816,1798.19,1800,1800,2000
TC_T6-31,6,T6-31,CA,Liquidambar styracaflua,4.75,1.511971959,21,23.3,41,15/07/14,15.512103,-88.241192,366876.4787,1715353.816,1798.19,1800,1800,2000
TC_T6-32,6,T6-32,CA,Liquidambar styracaflua,4.75,1.511971959,21,23.3,41,15/07/14,15.512103,-88.241192,366876.4787,1715353.816,1798.19,1800,1800,2000
TC_T6-33,6,T6-33,CA,Liquidambar styracaflua,4.75,1.511971959,21,23.3,41,15/07/14,15.512103,-88.241192,366876.4787,1715353.816,1798.19,1800,1800,2000
TC_T6-4,6,T6-4,CA,Liquidambar styracaflua,4.75,1.511971959,21,23.3,41,15/07/14,15.512103,-88.241192,366876.4787,1715353.816,1798.19,1800,1800,2000
TC_T6-5,6,T6-5,CA,Liquidambar styracaflua,4.75,1.511971959,21,23.3,41,15/07/14,15.512103,-88.241192,366876.4787,1715353.816,1798.19,1800,1800,2000
TC_T6-6,6,T6-6,CA,Liquidambar styracaflua,4.75,1.511971959,21,23.3,41,15/07/14,15.512103,-88.241192,366876.4787,1715353.816,1798.19,1800,1800,2000
TC_T6-7,6,T6-7,CA,Liquidambar styracaflua,4.75,1.511971959,21,23.3,41,15/07/14,15.512103,-88.241192,366876.4787,1715353.816,1798.19,1800,1800,2000
TC_T6-8,6,T6-8,CA,Liquidambar styracaflua,4.75,1.511971959,21,23.3,41,15/07/14,15.512103,-88.241192,366876.4787,1715353.816,1798.19,1800,1800,2000
TC_T6-9,6,T6-9,CA,Liquidambar styracaflua,4.75,1.511971959,21,23.3,41,15/07/14,15.512103,-88.241192,366876.4787,1715353.816,1798.19,1800,1800,2000
TC_T7-1,7,T7-1,CA,Liquidambar styracaflua,3.9,1.241408556,31,31,57,18/07/14,15.514935,-88.240959,366903.2877,1715666.98,1846.451416,1888,1887,2000
